label,n,d,T,j,est,true,bias,q0,q1,bstd,covered,singleW,time
ours,100,3,10,0,0.10858149067384333,0.06479648110442306,0.043785009569420275,0.012440404429191677,0.21165994405716732,0.05255508615363567,True,False,50075.327996730804
ours,100,3,10,0,0.11477978945819407,0.06479648110442306,0.04998330835377102,-0.00036718133066116366,0.2544344733347751,0.06872506679391027,True,False,50075.327996730804
ours,100,3,10,0,0.06486178301437476,0.06479648110442306,6.530190995170104e-05,-0.07332962320271334,0.23018819851788003,0.07471720671359897,True,False,50075.327996730804
ours,100,3,10,0,0.07271789925843539,0.06479648110442306,0.00792141815401233,-0.048007072868542174,0.19367965868394652,0.06801646633891588,True,False,50075.327996730804
ours,100,3,10,0,0.18557327606660354,0.06479648110442306,0.12077679496218048,0.07448399461593776,0.34169151271389137,0.06734532020328737,False,False,50075.327996730804
ours,100,3,10,0,0.04537625134611191,0.06479648110442306,-0.019420229758311147,-0.09360561537746763,0.14985335394894947,0.06642342181504461,True,False,50075.327996730804
ours,100,3,10,0,-0.10960483983105769,0.06479648110442306,-0.17440132093548075,-0.2796727317944237,0.05983175009573738,0.08868772603885831,False,False,50075.327996730804
ours,100,3,10,0,0.039800269394791456,0.06479648110442306,-0.0249962117096316,-0.07193527530088094,0.15674346582041598,0.060287121414817936,True,False,50075.327996730804
ours,100,3,10,0,0.0569785483682573,0.06479648110442306,-0.00781793273616576,-0.07947639871852548,0.175721688338441,0.06442646824335659,True,False,50075.327996730804
ours,100,3,10,0,0.11508200879053913,0.06479648110442306,0.05028552768611608,-0.01723484794433715,0.23495502097015866,0.0638163410626886,True,False,50075.327996730804
ours,100,3,10,0,-0.04583404753363414,0.06479648110442306,-0.1106305286380572,-0.20671106330272657,0.09256961033211758,0.07650511733741518,True,False,50075.327996730804
ours,100,3,10,0,0.16231810174299657,0.06479648110442306,0.09752162063857352,0.015605109605908633,0.2748308238887631,0.0675204726431018,True,False,50075.327996730804
ours,100,3,10,0,0.11846038225740115,0.06479648110442306,0.05366390115297809,-0.018354562185696813,0.24400474912824105,0.06728728023374816,True,False,50075.327996730804
ours,100,3,10,0,0.12369251603942255,0.06479648110442306,0.058896034934999494,-0.054961740600517214,0.31539254632496216,0.09188964949241224,True,False,50075.327996730804
ours,100,3,10,0,0.06803403488943381,0.06479648110442306,0.003237553785010755,-0.051499695726354155,0.18477800420868107,0.06270535421925498,True,False,50075.327996730804
ours,100,3,10,0,0.04854853918518612,0.06479648110442306,-0.01624794191923694,-0.07958905232259239,0.18050109524061755,0.06534444987010804,True,False,50075.327996730804
ours,100,3,10,0,0.03438153186814211,0.06479648110442306,-0.03041494923628095,-0.09305521278282024,0.14369501507019508,0.06122090383026793,True,False,50075.327996730804
ours,100,3,10,0,0.11540343219407212,0.06479648110442306,0.05060695108964906,-0.009573393942593085,0.24912986726647157,0.07070872653652217,True,False,50075.327996730804
ours,100,3,10,0,0.11349154196121183,0.06479648110442306,0.04869506085678878,-0.002979258509051867,0.23531725076627952,0.06257828242675721,True,False,50075.327996730804
ours,100,3,10,0,0.14690969065108855,0.06479648110442306,0.0821132095466655,0.04394800344427731,0.32349768411141433,0.07560929408465084,True,False,50075.327996730804
ours,100,3,10,0,0.17030353918105148,0.06479648110442306,0.10550705807662843,0.030680463761902428,0.3594542452762646,0.08675329352202747,True,False,50075.327996730804
ours,100,3,10,0,0.02182733373130704,0.06479648110442306,-0.042969147373116016,-0.07583248545088633,0.1703271794866556,0.06674688682310018,True,False,50075.327996730804
ours,100,3,10,0,0.06977644182440189,0.06479648110442306,0.004979960719978832,-0.04977117095137266,0.1907343642697384,0.060677932861345506,True,False,50075.327996730804
ours,100,3,10,0,0.043726395543035146,0.06479648110442306,-0.02107008556138791,-0.12370524792030263,0.17976991437698422,0.07914074629946619,True,False,50075.327996730804
ours,100,3,10,0,0.049799421564587595,0.06479648110442306,-0.014997059539835461,-0.08002877596916307,0.16211228166303623,0.06660537737172521,True,False,50075.327996730804
ours,100,3,10,0,0.09909254281999637,0.06479648110442306,0.03429606171557331,-0.059979678570445845,0.24315751060361215,0.08636383837510389,True,False,50075.327996730804
ours,100,3,10,0,0.13285896277810658,0.06479648110442306,0.06806248167368352,0.031160872346490866,0.2571179995083949,0.05774866896381021,True,False,50075.327996730804
ours,100,3,10,0,0.040828660176763634,0.06479648110442306,-0.023967820927659422,-0.10627432075995799,0.16002579915667695,0.06691130691046596,True,False,50075.327996730804
ours,100,3,10,0,0.05076469745312732,0.06479648110442306,-0.014031783651295739,-0.05817702797709879,0.19258376537351177,0.07077647177675257,True,False,50075.327996730804
ours,100,3,10,0,-0.03938226436423524,0.06479648110442306,-0.1041787454686583,-0.17733042896736667,0.08708665394614536,0.06443180888567723,True,False,50075.327996730804
ours,100,3,10,0,0.03581972277445713,0.06479648110442306,-0.028976758329965928,-0.12465014822808741,0.1545551566937744,0.07641967111717617,True,False,50075.327996730804
ours,100,3,10,0,0.010827433729561922,0.06479648110442306,-0.053969047374861134,-0.07923381416936402,0.10485219970559558,0.049093749750248675,True,False,50075.327996730804
ours,100,3,10,0,0.042904230998488904,0.06479648110442306,-0.021892250105934152,-0.10247815229964036,0.17873298331191892,0.0713488352222973,True,False,50075.327996730804
ours,100,3,10,0,0.05291408485105007,0.06479648110442306,-0.011882396253372986,-0.06573670709408254,0.16297528946837875,0.06331021387157264,True,False,50075.327996730804
ours,100,3,10,0,0.09453404042754006,0.06479648110442306,0.029737559323117002,-0.010469816122293618,0.2447257441198397,0.07062947725420933,True,False,50075.327996730804
ours,100,3,10,0,0.012306076309877465,0.06479648110442306,-0.05249040479454559,-0.14049619926501294,0.14321050921279074,0.0785411256277373,True,False,50075.327996730804
ours,100,3,10,0,0.13716189870186118,0.06479648110442306,0.07236541759743813,0.018184840562342187,0.236309646468642,0.06185385638506452,True,False,50075.327996730804
ours,100,3,10,0,0.019890645385268448,0.06479648110442306,-0.04490583571915461,-0.09537573062204369,0.13421290895741408,0.06302943030571086,True,False,50075.327996730804
ours,100,3,10,0,0.00408723955419472,0.06479648110442306,-0.06070924155022834,-0.1192584389370028,0.13740918343677236,0.0697861349583838,True,False,50075.327996730804
ours,100,3,10,0,0.09764896567432182,0.06479648110442306,0.03285248456989877,-0.04725000666622235,0.23385949598688482,0.07865460875482515,True,False,50075.327996730804
ours,100,3,10,0,0.12984292722814422,0.06479648110442306,0.06504644612372117,-0.0428062802675583,0.30011609241331155,0.08935141587982227,True,False,50075.327996730804
ours,100,3,10,0,0.1018380804844404,0.06479648110442306,0.037041599380017345,-0.030991559727303532,0.189401195309432,0.05717881504199537,True,False,50075.327996730804
ours,100,3,10,0,0.021420556295318423,0.06479648110442306,-0.043375924809104634,-0.10782828982902602,0.16516728781305015,0.07347665370856699,True,False,50075.327996730804
ours,100,3,10,0,0.04386744390722469,0.06479648110442306,-0.020929037197198366,-0.06267172971250651,0.15712930830527116,0.06613203754180935,True,False,50075.327996730804
ours,100,3,10,0,0.09889839699147716,0.06479648110442306,0.03410191588705411,-0.020846680389080087,0.21210987518654015,0.05845000008339966,True,False,50075.327996730804
ours,100,3,10,0,0.00914478217390757,0.06479648110442306,-0.055651698930515484,-0.10625741720706444,0.09862591229736836,0.0533937623752645,True,False,50075.327996730804
ours,100,3,10,0,-0.056726927520020745,0.06479648110442306,-0.1215234086244438,-0.158653794425835,0.07643025296304426,0.06395803617162575,True,False,50075.327996730804
ours,100,3,10,0,0.12307821881429892,0.06479648110442306,0.05828173770987587,-0.0007940553470039205,0.2331047407895088,0.06685272820616014,True,False,50075.327996730804
ours,100,3,10,0,0.06830526207654473,0.06479648110442306,0.003508780972121678,-0.03853185741083757,0.19329271328012157,0.057336586900903166,True,False,50075.327996730804
ours,100,3,10,0,0.08982070710937344,0.06479648110442306,0.025024226004950384,-0.03635408902870272,0.21403004911377688,0.06915197313342139,True,False,50075.327996730804
ours,100,3,10,0,-0.03292808535586686,0.06479648110442306,-0.09772456646028992,-0.16646487528843398,0.09498485998157986,0.07276854504678298,True,False,50075.327996730804
ours,100,3,10,0,-0.060870453740977035,0.06479648110442306,-0.1256669348454001,-0.1881359895560272,0.06892087400517655,0.06348558831333506,True,False,50075.327996730804
ours,100,3,10,0,0.06669882632182007,0.06479648110442306,0.0019023452173970168,-0.09727813366478928,0.23013106870758052,0.08809523319345301,True,False,50075.327996730804
